Operator,Active,Idle,Plugged,New,Unknown,Total
Chevron U.S.A. Inc.,16822,8948,31432,725,10,57937
Aera Energy LLC,14538,8742,32305,821,5,56411
California Resources Production Corporation,3062,3693,4117,116,1,10989
Sentinel Peak Resources California LLC,4317,2010,4194,188,0,10709
"California Resources Elk Hills, LLC",4278,2890,2594,380,10,10152
"Berry Petroleum Company, LLC",2554,2328,2697,234,2,7815
E & B Natural Resources Management Corporation,1573,1354,636,50,0,3613
Tidelands Oil Production Co.,622,333,1666,5,0,2626
Union Oil Company of California,0,51,2353,0,0,2404
"CalNRG Operating, LLC",401,1150,660,3,0,2214
Crimson Resource Management Corp.,1101,497,568,28,0,2194
THUMS Long Beach Co.,1168,388,103,7,0,1666
Shell Western E&P Inc.,0,3,1590,0,0,1593
Exxon Mobil Corporation,0,6,1440,0,0,1446
Holmes Western Oil Corporation,600,251,514,61,0,1426
Mobil Oil Corporation,0,2,1313,0,1,1316
Macpherson Oil Company,650,148,276,8,0,1082
Bridge Energy LLC,325,189,451,0,0,965
Union Pacific Resources Co.,0,2,949,0,0,951
Cat Canyon Resources LLC,210,293,380,0,0,883
"Signal Hill Petroleum, Inc.",235,246,247,0,0,728
"Vaquero Energy, Inc.",466,112,115,22,0,715
Arco Western Energy Co.,0,6,687,0,0,693
Phillips Petroleum Company,0,2,686,0,0,688
"Carbon California Operating Company, LLC",421,123,121,2,0,667
"Bridgeland Resources, LLC",248,253,166,0,0,667
Pacific Coast Energy Company LP,279,168,150,3,0,600
"San Joaquin Facilities Management, Inc.",180,139,241,5,0,565
Atlantic Oil Company,0,0,563,0,0,563
"Shadow Wolf Energy, LLC",148,169,209,9,0,535
Southern California Gas Company,167,91,261,6,0,525
City of Whittier,0,3,518,0,0,521
Bellaire Oil Company,199,81,233,0,0,513
"West Energy Operating, LLC",129,255,105,0,0,489
"Warren E&P, Inc.",196,144,143,0,0,483
Team Operating LLC,131,341,0,0,0,472
"HVI Cat Canyon, Inc.",11,289,120,0,0,420
Oryx Energy Company,0,0,383,0,0,383
Naftex Operating Company,184,113,70,1,0,368
West Newport Oil Co.,0,0,353,0,0,353
Brea Canon Oil Co.,56,29,265,0,0,350
Arco Oil and Gas Co.,0,4,342,0,0,346
The Termo Company,91,70,179,2,0,342
"Kern River Holdings II, LLC",195,13,111,0,0,319
Atlantic Richfield Company,0,4,312,0,0,316
"Mobil Oil Exploration & Production North America, Inc.",0,0,291,0,0,291
Amerada Hess Corp.,0,0,289,0,0,289
Occidental Petroleum Corporation,0,3,283,0,0,286
"TRC Operating Company, Inc.",126,9,131,12,0,278
Freeport-McMoRan Oil & Gas LLC,3,33,232,0,0,268
"Sequoia Exploration, Inc.",142,72,44,0,0,258
"Petro-Lud, Inc.",123,107,21,2,0,253
Conoco Inc.,0,2,235,0,0,237
Capitol Oil Corporation,0,0,218,0,0,218
"Torrance Petroleum, Inc.",0,0,215,0,0,215
Matrix Oil Corporation,110,93,11,0,0,214
"Dominguez Energy, L.P.",0,0,207,0,0,207
Nahama & Weagant Energy Company,0,0,199,0,0,199
Sunset Oil Company,0,2,188,0,0,190
Pyramid Oil Company,0,2,177,0,0,179
Pacific Gas and Electric Company,104,8,66,0,0,178
"Saba Petroleum, Inc.",0,0,178,0,0,178
"CMO, Inc.",56,84,34,0,0,174
Hathaway LLC,78,81,10,2,0,171
"J.P. Oil Company, LLC",46,64,60,0,0,170
Tesoro Petroleum Corp.,0,0,169,0,0,169
Trico Industries Inc,0,1,167,0,0,168
State Lands Commission,1,76,77,9,0,163
Marathon Oil Company,0,1,162,0,0,163
"Santa Maria Energy, LLC",75,54,29,2,0,160
Drilling & Production Co.,55,10,95,0,0,160
"Oro Negro, Inc.",0,0,158,0,0,158
"Royale Energy, Inc.",14,23,112,1,0,150
"California Resources Long Beach, Inc.",55,41,53,0,0,149
Rosetta Resources Operating LP,0,0,145,0,0,145
"DCOR, LLC",80,33,29,0,0,142
"Towne Exploration Company, LP",12,3,126,0,0,141
TXO Production Corp.,0,0,138,0,0,138
ABA Energy Corporation,18,2,117,0,0,137
"Getty Reserve Oil, Co.",0,0,131,0,0,131
"Griffin Resources, LLC",0,106,22,0,0,128
"Venoco, LLC",0,16,109,0,0,125
Crown Central Petro. Corp.,0,0,123,0,0,123
UMC Petroleum Corp.,0,0,123,0,0,123
Merit Energy Company,0,0,119,0,0,119
"The Newhall Land and Farming Company, LLC",0,2,113,0,0,115
"Synergy Oil & Gas, LLC",63,20,31,0,0,114
Etchegoin Oil LLC,16,51,46,0,0,113
Tri-Valley Oil & Gas Co.,0,16,97,0,0,113
"Sierra Resources, Inc.",87,17,8,0,0,112
Armstrong Petroleum Corporation,3,7,102,0,0,112
C. C. Harris Oil Co.,0,43,68,0,0,111
Sherman Havens,0,55,55,0,0,110
"Petro Resources, Inc.",11,18,79,0,0,108
Argo Petroleum Corp.,0,11,96,0,0,107
"Sunray Petroleum, Inc.",0,64,42,0,0,106
"Kenneth H. Hunter,Jr., Trustee Of The Hunter Living Trust",0,0,106,0,0,106
Great Basins Petroleum Co.,0,0,105,0,0,105
Huntington Beach Company,0,0,104,0,0,104
Rothschild Oil Co.,0,0,104,0,0,104
Natural Gas Corp. of Calif.,0,0,101,0,0,101
"Kelt Oil and Gas, Inc.",0,0,100,0,0,100
Western Continental Operating Company,0,0,98,0,0,98
"SOC Resources, Inc.",0,1,95,0,0,96
"Richard S. Rheem, Operator",0,0,96,0,0,96
CalResources LLC,0,0,95,0,0,95
"EOG Resources, Inc.",0,0,95,0,0,95
"Transco Oil & Gas, Inc.",0,0,95,0,0,95
"Pioneer Exploration, LLC",58,28,8,0,0,94
"25 Hill Properties, Inc.",16,33,45,0,0,94
Caltico Oil Corp.,0,33,61,0,0,94
"Amerada Hess Corp., Unit Operator",0,0,94,0,0,94
"Stream Energy, Inc.",0,4,89,0,0,93
"Donald C Slawson Expl Co., Inc",0,0,93,0,0,93
Samson Resources Co.,0,0,91,0,0,91
Caballero Operations LLC,46,44,0,0,0,90
Standing Bear Petroleum Inc.,0,0,89,0,0,89
Petro-Lewis Corp.,0,0,88,0,0,88
Arkoma Production Company of California,0,0,86,0,0,86
Seaside Oil Co.,0,0,86,0,0,86
Kraemer II LLC,0,0,85,0,0,85
Triton Oil & Gas Corp.,0,0,85,0,0,85
Castle Minerals,0,0,78,0,0,78
"Hilliard Oil & Gas, Inc.",0,0,77,0,0,77
Arcady Oil Company,0,0,75,0,0,75
Venada National,0,0,75,0,0,75
Hellman Properties LLC,52,14,7,0,0,73
Anacapa Oil Corporation,0,0,73,0,0,73
"Central Lease, Inc.",0,4,68,0,0,72
State of California,0,1,71,0,0,72
Blackhawk Oil Company,0,0,71,0,0,71
Lario Oil & Gas Co.,0,0,71,0,0,71
Longview Production Co.,0,0,71,0,0,71
John A. Thomas,49,21,0,0,0,70
Rancho La Brea Oil co.,0,4,66,0,0,70
Morton and Dolley,0,0,70,0,0,70
"Longbow, LLC",43,4,22,0,0,69
Trio Petroleum LLC,5,26,35,3,0,69
"B. E. Conway Energy, Inc.",52,8,8,0,0,68
Valley Water Management Company,10,40,18,0,0,68
Medallion Calif Properties Co.,0,0,68,0,0,68
"Cooper & Brain, Inc.",49,3,15,0,0,67
"Patriot Resources, LLC",18,31,17,0,0,66
"Thompson Oil Company, Inc.",41,23,1,0,0,65
Golden Bear Oil Company,0,0,65,0,0,65
"Emjayco, L. P.",0,0,64,0,0,64
Grace Petroleum Corp.,0,0,64,0,0,64
Angus Petroleum Corporation,10,19,33,0,0,62
L.A. Terminal & Transport Co.,0,62,0,0,0,62
Neaves Petro. Developments,0,0,62,0,0,62
Hillcrest Beverly Oil Corp.,18,20,23,0,0,61
"LDD Energy, LLC",7,13,41,0,0,61
Union Consolidated Crude Oil Co.,0,47,14,0,0,61
Quintana Petroleum Corporation,0,0,60,0,0,60
"Dole Enterprises, Inc.",24,11,24,0,0,59
Petrogulf Corporation,0,2,57,0,0,59
Estate of Louise E. Dabney,0,1,58,0,0,59
Sage-California,0,0,59,0,0,59
Pace Diversified Corporation,31,16,11,0,0,58
Continental Oil Company,0,1,55,0,0,56
The Port of Long Beach,0,0,56,0,0,56
"Grayson Service, Inc.",4,8,43,0,0,55
Graner Oil Co.,0,0,55,0,0,55
Westlake Oil Co.,0,54,0,0,0,54
Ferguson & Bosworth,0,0,54,0,0,54
"Key Production Company, Inc.",0,0,54,0,0,54
The Dow Chemical Company,0,0,54,0,0,54
United Energy Inc.,0,0,54,0,0,54
Westates Petroleum Co.,0,2,51,0,0,53
"Beloil Corporation, Ltd.",0,0,53,0,0,53
"Lodi Gas Storage, L.L.C.",45,1,6,0,0,52
American Oil Co.,0,2,50,0,0,52
"E. A. Bender, Operator",0,0,52,0,0,52
Lyle A. Garner,0,0,52,0,0,52
Tri-Union Development Corporation,0,0,51,0,0,51
"Harvest Petroleum, Inc.",38,12,0,0,0,50
Sun Exploration & Production Co.,0,2,48,0,0,50
"Deuel Petroleum Company, Inc.",0,0,50,0,0,50
Norris Oil Company,0,0,50,0,0,50
Northern Michigan Exploration Company,0,0,50,0,0,50
"Petro Capital Resources, LLC",24,13,12,0,0,49
Parker Oil Col,0,41,8,0,0,49
Geo Petroleum Inc.,0,0,49,0,0,49
"Omimex Petroleum, Inc.",0,0,49,0,0,49
Sun Oil Company,0,0,49,0,0,49
